ID,Name,Title,Year(s)
25217678,Jordan Klepper,Senior Fantasy Culture Correspondent,2014-Present
55645713,Hasan Minhaj,Senior Indian Correspondent,2014-Present
92337178,Ronny Chieng,Senior Basketball Correspondent,2015-Present
60324866,Jessica Williams,Senior Beyoncé Correspondent,2012-2016
94456135,Olivia Munn,Senior Asian Correspondent,2010-2011
78268273,Al Madrigal,Senior California correspondent,2011-2016
18032828,Roy Wood Jr.	,Senior Mars Correspondent,2015-Present
89288123,Gina Yashere,Senior British Correspondent,2017-Present
41188545,Aasif Mandvi	,Senior Middle East Correspondent,2006-2015
32613513,John Oliver,Senior British Person,2006-2013
52482732,Rob Riggle,Senior Military Affairs Correspondent,2006-2008
94901779,Mick Foley,Senior Ass Kicker,2008-2013
41181862,Buck Henry,Senior Historical Perspectivist,2007
53405539,Larry Wilmore,Senior Black Correspondent,2006-2014
61453684,Bassem Youssef,Senior Middle East Correspondent,2015
61200824,Stephen Colbert,Correspondent,1997-2005
65411036,Samantha Bee,Correspondent,2003-2015
17700760,Wyatt Cenac,Correspondent,2008-2012
46892466,Ed Helms,Correspondent,2002-2006
81918941,Steve Carell,Correspondent,1999-2005